"accession","X20181107_18.053_16_1_track16.x","X20181107_18.053_17_1_track17.x","X20181107_18.053_18_1_track18.x","X20181107_18.053_7_1_track7.x","X20181107_18.053_8_1_track8.x","X20181107_18.053_9_1_track9.x","protein.x","pval_milieu.x","padj_milieu.x","Ratio_XIC$descr","Ratio_XIC$UF.YEL","X20181107_18.053_16_1_track16.y","X20181107_18.053_17_1_track17.y","X20181107_18.053_18_1_track18.y","X20181107_18.053_7_1_track7.y","X20181107_18.053_8_1_track8.y","X20181107_18.053_9_1_track9.y","protein.y","Goodness_of_fit","pval_milieu.y","padj_milieu.y","Ratio_PC$descr","Ratio_PC$UF.YEL"
"gi|659916820|emb|CDP49789.1|",8.86911660989256,8.78636814847256,8.54301169615526,8.41713553449592,8.26210527439957,8.47238758941791,"b91.a1.a1",0.0399854687708426,0.129561854117814,"gi|659916820|emb|CDP49789.1| Serine/threonine protein kinase [Propionibacterium freudenreichii subsp. freudenreichii]",0.435717405736183,23,24,23,26,24,25,"b91.a1.a1","OK",0.677945313471475,0.894146552391763,"gi|659916820|emb|CDP49789.1| Serine/threonine protein kinase [Propionibacterium freudenreichii subsp. freudenreichii]",1.07142857142857
"gi|659916821|emb|CDP49790.1|",8.65686245215459,8.60650612781501,8.54039679238523,8.1342341942548,8.08540433792292,8.19600350002527,"c209.a1.a1",0.000572343187460231,0.0110653016242311,"gi|659916821|emb|CDP49790.1| Penicillin-binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.34439704917128,15,15,16,14,14,12,"c209.a1.a1","OK",0.517463985260513,0.825376439299827,"gi|659916821|emb|CDP49790.1| Penicillin-binding protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.869565217391304
"gi|659916822|emb|CDP49791.1|",7.62080206623331,7.80914979166069,7.87330026764388,7.11633388916219,7.11189711966422,7.27708195288102,"c623.a1.a1",0.00301264916594726,0.0221181837499926,"gi|659916822|emb|CDP49791.1| Cell division protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.248412063650593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916823|emb|CDP49792.1|",7.40524451988865,7.42407274049286,7.20545179817744,7.49533978021298,7.31158002164533,7.60246912610189,"c423.a1.a1",0.319819757344675,0.495977163796555,"gi|659916823|emb|CDP49792.1| Hypothetical protein PFCIRM129_02105 [Propionibacterium freudenreichii subsp. freudenreichii]",1.34974697030119,4,6,4,6,6,6,"c423.a1.a1","OK",0.478924957192399,0.799662818104457,"gi|659916823|emb|CDP49792.1| Hypothetical protein PFCIRM129_02105 [Propionibacterium freudenreichii subsp. freudenreichii]",1.28571428571429
"gi|659916824|emb|CDP49793.1|",8.36438863310937,8.7685270724426,9.2366984056961,8.00243443233593,8.91063747367155,8.56339163562433,"c352.a1.a1",0.460950827320112,0.623278148028198,"gi|659916824|emb|CDP49793.1| Forkhead-associated protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.503562711050267,8,10,10,10,10,10,"c352.a1.a1","OK",0.792828915428153,0.91028495461161,"gi|659916824|emb|CDP49793.1| Forkhead-associated protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.07142857142857
"gi|659916825|emb|CDP49794.1|",8.080392219072,8.21628405563645,8.36618161059823,7.59655945461938,8.25327917390362,5.9622184545316,"c290.a1.a1",0.238297793591615,0.414106282999731,"gi|659916825|emb|CDP49794.1| Forkhead-associated protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.424531084942458,7,8,8,9,10,7,"c290.a1.a1","OK",0.66813757101207,0.887182734125555,"gi|659916825|emb|CDP49794.1| Forkhead-associated protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.1304347826087
"gi|659916830|emb|CDP49774.1|",7.52237949367614,7.34611961458027,5.83225038006633,7.17650765127923,6.6646753133258,7.09088662152331,"c372.a1.a1",0.897007208435285,0.947657888693015,"gi|659916830|emb|CDP49774.1| GTP-binding protein typA/BipA (Tyrosine phosphorylated protein A) [Propionibacterium freudenreichii subsp. freudenreichii]",0.569106707786784,2,4,2,8,6,8,"c372.a1.a1","OK",0.00914688122100601,0.0543798049154853,"gi|659916830|emb|CDP49774.1| GTP-binding protein typA/BipA (Tyrosine phosphorylated protein A) [Propionibacterium freudenreichii subsp. freudenreichii]",2.75
"gi|659916834|emb|CDP49778.1|",8.32549355955675,7.83135052594976,7.6714812591789,7.68308081398702,8.4084666530496,7.06573224030631,"c237.a1.a1",0.634288911762543,0.755415952407135,"gi|659916834|emb|CDP49778.1| Uracil phosphoribosyltransferase (UMP pyrophosphorylase) (UPRTase) [Propionibacterium freudenreichii subsp. freudenreichii]",0.968223700386449,5,9,9,12,12,10,"c237.a1.a1","OK",0.143859381210263,0.429353514024445,"gi|659916834|emb|CDP49778.1| Uracil phosphoribosyltransferase (UMP pyrophosphorylase) (UPRTase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.47826086956522
"gi|659916840|emb|CDP49784.1|",7.86506375043053,8.08514084905908,8.20123186256196,7.54687696295488,7.99492115646933,6.40884784082202,"c483.a1.a1",0.202866685087502,0.377123965867792,"gi|659916840|emb|CDP49784.1| Hypothetical protein PFCIRM129_02060 [Propionibacterium freudenreichii subsp. freudenreichii]",0.386074089163011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916842|emb|CDP49786.1|",7.80692074631636,7.83478071015856,7.42836121506844,7.88877557804542,7.77471623603109,8.04078682415852,"c222.a1.a1",0.236793466406515,0.413675332878851,"gi|659916842|emb|CDP49786.1| Ferrous iron uptake protein B 9.A.8.1.x [Propionibacterium freudenreichii subsp. freudenreichii]",1.54934909751129,7,11,9,15,15,14,"c222.a1.a1","OK",0.042624422983251,0.191314270599243,"gi|659916842|emb|CDP49786.1| Ferrous iron uptake protein B 9.A.8.1.x [Propionibacterium freudenreichii subsp. freudenreichii]",1.62962962962963
"gi|659916844|emb|CDP49788.1|",9.11102403710324,8.78808605183187,8.89197679512598,8.22186144367575,8.25836140576438,8.33577893846593,"b89.a1.a1",0.0028525363082885,0.0221181837499926,"gi|659916844|emb|CDP49788.1| Galactokinase [Propionibacterium freudenreichii subsp. freudenreichii]",0.210288366231821,10,12,11,23,21,20,"b89.a1.a1","OK",0.00149630753431748,0.0131266979146943,"gi|659916844|emb|CDP49788.1| Galactokinase [Propionibacterium freudenreichii subsp. freudenreichii]",1.93939393939394
"gi|659916848|emb|CDP49713.1|",7.38512807680403,7.37311036986376,7.03518857443268,7.58365455530577,7.26067112326658,7.59479440426811,"c505.a1.a1",0.246330533321263,0.422697364870807,"gi|659916848|emb|CDP49713.1| Hypothetical membrane protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.63298120502389,3,3,2,3,3,4,"c505.a1.a1","OK",0.63700411833791,0.873136429590779,"gi|659916848|emb|CDP49713.1| Hypothetical membrane protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.25
"gi|659916852|emb|CDP49717.1|",6.66835491346784,6.95392251603993,7.0804486911535,7.49630501112618,8.12205016289332,7.5018238203988,"c416.a1.a1",0.0286608424259074,0.101361515896502,"gi|659916852|emb|CDP49717.1| Inorganic pyrophosphatase [Propionibacterium freudenreichii subsp. freudenreichii]",7.61286735511925,3,4,2,7,5,2,"c416.a1.a1","OK",0.295215242045306,0.648194086750618,"gi|659916852|emb|CDP49717.1| Inorganic pyrophosphatase [Propionibacterium freudenreichii subsp. freudenreichii]",1.55555555555556
"gi|659916853|emb|CDP49718.1|",8.47372027647117,8.51888203070148,8.58125189330909,7.78752695342085,8.09579358827001,7.77472226487545,"c233.a1.a1",0.0043054661464064,0.0289465227336879,"gi|659916853|emb|CDP49718.1| carboxypeptidase (serine-type D-Ala-D-Ala carboxypeptidase) (D-alanyl-D-alanine-carboxypeptidase) [Propionibacterium freudenreichii subsp. freudenreichii]",0.243272027608257,12,13,13,11,13,11,"c233.a1.a1","OK",0.72545864839336,0.91028495461161,"gi|659916853|emb|CDP49718.1| carboxypeptidase (serine-type D-Ala-D-Ala carboxypeptidase) (D-alanyl-D-alanine-carboxypeptidase) [Propionibacterium freudenreichii subsp. freudenreichii]",0.921052631578947
"gi|659916854|emb|CDP49719.1|",7.22485487052771,7.27418169940557,7.50860700384919,6.45741051329637,6.55895984545174,6.45741051329637,"c521.a1.a1",0.000843814978017261,0.0128792812434214,"gi|659916854|emb|CDP49719.1| Hypothetical protein PFCIRM129_01720 [Propionibacterium freudenreichii subsp. freudenreichii]",0.137912413985024,4,4,4,4,3,0,"c521.a1.a1","OK",0.248553939672604,0.586320626330285,"gi|659916854|emb|CDP49719.1| Hypothetical protein PFCIRM129_01720 [Propionibacterium freudenreichii subsp. freudenreichii]",0.583333333333333
"gi|659916856|emb|CDP49721.1|",7.1797361648658,7.36788696776338,7.91333240085427,7.40116530750311,8.16867564021361,7.0317227181295,"c411.a1.a1",0.912510674189913,0.957063636582549,"gi|659916856|emb|CDP49721.1| hypoxanthine phosphoribosyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",1.52374879738832,3,3,3,3,3,4,"c411.a1.a1","OK",0.81850461050307,0.91028495461161,"gi|659916856|emb|CDP49721.1| hypoxanthine phosphoribosyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",1.11111111111111
"gi|659916858|emb|CDP49723.1|",6.39842372886336,6.32467349208196,7.36994955050418,7.22056601721733,7.64204407070064,6.57853818530556,"c278.a1.a1",0.381331861190979,0.558516362350424,"gi|659916858|emb|CDP49723.1| GTP cyclohydrolase I (GTP-CH-I) [Propionibacterium freudenreichii subsp. freudenreichii]",2.29070984879878,1,3,3,11,11,6,"c278.a1.a1","OK",0.000239565719576662,0.00330517132845369,"gi|659916858|emb|CDP49723.1| GTP cyclohydrolase I (GTP-CH-I) [Propionibacterium freudenreichii subsp. freudenreichii]",4
"gi|659916874|emb|CDP49739.1|",7.83684866841206,7.76054044825854,7.60575135468725,7.12711574055301,7.11195529623136,7.22288290860794,"c378.a1.a1",0.0016059029536461,0.0158750770526088,"gi|659916874|emb|CDP49739.1| DNA integrity scanning protein disA [Propionibacterium freudenreichii subsp. freudenreichii]",0.258325537595409,4,7,6,7,6,6,"c378.a1.a1","OK",0.738817900552043,0.91028495461161,"gi|659916874|emb|CDP49739.1| DNA integrity scanning protein disA [Propionibacterium freudenreichii subsp. freudenreichii]",1.11764705882353
"gi|659916875|emb|CDP49740.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,11,10,10,"c304.a1.a1","OK",1.70503871635164e-05,0.000450699848592924,"gi|659916875|emb|CDP49740.1| DNA repair protein [Propionibacterium freudenreichii subsp. freudenreichii]",5.16666666666667
"gi|659916876|emb|CDP49741.1|",6.19831003290728,6.44185836086884,6.54646333452702,7.08513675644848,7.80395951166105,6.12383983616394,"c310.a1.a1",0.288231190816117,0.465650627818344,"gi|659916876|emb|CDP49741.1| Hypothetical protein PFCIRM129_01830 [Propionibacterium freudenreichii subsp. freudenreichii]",9.81281170034018,1,4,4,9,7,6,"c310.a1.a1","OK",0.0177179004588185,0.09411618684088,"gi|659916876|emb|CDP49741.1| Hypothetical protein PFCIRM129_01830 [Propionibacterium freudenreichii subsp. freudenreichii]",2.44444444444444
"gi|659916880|emb|CDP49745.1|",7.59452678037609,7.95296253173401,7.99721461244485,7.97184278352275,7.90625637347223,7.99863835583177,"c189.a1.a1",0.443874442610866,0.610064399796925,"gi|659916880|emb|CDP49745.1| Aspartate-semialdehyde dehydrogenase (Semialdehyde dehydrogenase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.19958431443453,12,12,13,15,11,13,"c189.a1.a1","OK",0.818535516538943,0.91028495461161,"gi|659916880|emb|CDP49745.1| Aspartate-semialdehyde dehydrogenase (Semialdehyde dehydrogenase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.05405405405405
"gi|659916884|emb|CDP49749.1|",7.50949674860933,7.67468448519034,7.94119476081092,6.97780115334609,7.64583216807265,5.17991955016185,"c325.a1.a1",0.21239553986454,0.390245631796402,"gi|659916884|emb|CDP49749.1| phosphoglycerate mutase/Fructose-2,6-bisphosphatase [Propionibacterium freudenreichii subsp. freudenreichii]",0.322841146099776,8,12,12,10,10,2,"c325.a1.a1","OK",0.172326842770567,0.479698278673838,"gi|659916884|emb|CDP49749.1| phosphoglycerate mutase/Fructose-2,6-bisphosphatase [Propionibacterium freudenreichii subsp. freudenreichii]",0.6875
"gi|659916886|emb|CDP49751.1|",8.20487987009041,8.11068260963509,8.03411084415448,7.38529050776188,7.71599283141423,7.50927281626682,"c283.a1.a1",0.00588704141739217,0.0353365499133073,"gi|659916886|emb|CDP49751.1| secreted glycosyl hydrolase [Propionibacterium freudenreichii subsp. freudenreichii]",0.273187675851607,7,10,9,10,9,10,"c283.a1.a1","OK",0.685756620692688,0.901920258857833,"gi|659916886|emb|CDP49751.1| secreted glycosyl hydrolase [Propionibacterium freudenreichii subsp. freudenreichii]",1.11538461538462
"gi|659916895|emb|CDP49760.1|",8.55813051819069,8.68652638335199,8.69898577430892,8.25670423010704,8.09943200815298,8.22585877955439,"c234.a1.a1",0.00232817330016646,0.0201543360312918,"gi|659916895|emb|CDP49760.1| binding protein of phosphate ABC transporter (BP:MOI:undef:phosphate) [Propionibacterium freudenreichii subsp. freudenreichii]",0.352182169629432,7,11,10,12,8,10,"c234.a1.a1","OK",0.792828915428158,0.91028495461161,"gi|659916895|emb|CDP49760.1| binding protein of phosphate ABC transporter (BP:MOI:undef:phosphate) [Propionibacterium freudenreichii subsp. freudenreichii]",1.07142857142857
"gi|659916898|emb|CDP49763.1|",7.71634913513596,6.11433295153358,6.00514651111679,7.51241843907281,7.04203553051792,4.01315308798383,"c398.a1.a1",0.748007704617697,0.849323234420908,"gi|659916898|emb|CDP49763.1| GCN5-related N-acetyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",0.801528168125,3,4,4,8,6,3,"c398.a1.a1","OK",0.254992969410822,0.592068074673319,"gi|659916898|emb|CDP49763.1| GCN5-related N-acetyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",1.54545454545455
"gi|659916902|emb|CDP49767.1|",8.22968985649757,8.44838009447672,8.5530863048805,8.11335227156651,8.3280134921374,8.24411628294916,"c150.a1.a1",0.185571890183307,0.364853207818027,"gi|659916902|emb|CDP49767.1| inositol-1-phosphate synthase [Propionibacterium freudenreichii subsp. freudenreichii]",0.641316722029185,12,20,18,21,19,18,"c150.a1.a1","OK",0.441209115043037,0.762567395850503,"gi|659916902|emb|CDP49767.1| inositol-1-phosphate synthase [Propionibacterium freudenreichii subsp. freudenreichii]",1.16
"gi|659916903|emb|CDP49768.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,1,"c569.a1.a1","OK",0.199550990993661,0.506763029985248,"gi|659916903|emb|CDP49768.1| Transcriptional regulatory protein [Propionibacterium freudenreichii subsp. freudenreichii]",2.33333333333333
"gi|659916913|emb|CDP49708.1|",8.13683178283415,8.222305840003,8.21808762155896,7.57630337292878,8.23499188075864,7.51938174186985,"c491.a1.a1",0.14686821375107,0.315494681391186,"gi|659916913|emb|CDP49708.1| D-serine/D-alanine/glycine transporter [Propionibacterium freudenreichii subsp. freudenreichii]",0.517047183870828,5,5,5,5,5,4,"c491.a1.a1","OK",0.852669247886317,0.913880409076629,"gi|659916913|emb|CDP49708.1| D-serine/D-alanine/glycine transporter [Propionibacterium freudenreichii subsp. freudenreichii]",0.933333333333333
"gi|659916915|emb|CDP49710.1|",8.8067966847979,8.55499564039379,8.38431451396106,8.33881242433499,8.41561841262097,8.28070666633205,"c114.a1.a1",0.139548201359253,0.304278033038973,"gi|659916915|emb|CDP49710.1| flavin-containing amine oxidase [Propionibacterium freudenreichii subsp. freudenreichii]",0.538940741850233,12,19,16,21,18,20,"c114.a1.a1","OK",0.243293738518791,0.586320626330285,"gi|659916915|emb|CDP49710.1| flavin-containing amine oxidase [Propionibacterium freudenreichii subsp. freudenreichii]",1.25531914893617
"gi|659916937|emb|CDP49676.1|",7.26690149920095,7.63896529141623,7.74530884433197,7.47596867709724,7.83918322028558,6.33392693804765,"c252.a1.a1",0.521625960547611,0.667823989215779,"gi|659916937|emb|CDP49676.1| Hypothetical protein PFCIRM129_01490 [Propionibacterium freudenreichii subsp. freudenreichii]",0.859473667504147,7,10,11,11,11,7,"c252.a1.a1","OK",0.894623122285538,0.91841629043143,"gi|659916937|emb|CDP49676.1| Hypothetical protein PFCIRM129_01490 [Propionibacterium freudenreichii subsp. freudenreichii]",1.03571428571429
"gi|659916945|emb|CDP49684.1|",8.80642564852198,9.91631207600249,10.0705965959433,9.12163185988108,9.75635998021506,9.12150373387036,"b94.a1.a1",0.588830209157655,0.721431325447039,"gi|659916945|emb|CDP49684.1| ABC-type transport systems, periplasmic component [Propionibacterium freudenreichii subsp. freudenreichii]",0.404420787688034,19,29,28,29,29,28,"b94.a1.a1","OK",0.431912001429597,0.759882868652146,"gi|659916945|emb|CDP49684.1| ABC-type transport systems, periplasmic component [Propionibacterium freudenreichii subsp. freudenreichii]",1.13157894736842
"gi|659916946|emb|CDP49685.1|",6.93794656699679,6.87353735174528,6.42293068952793,6.99320752666684,6.62608061792347,6.98496835971094,"c602.a1.a1",0.575037596658166,0.711355400003409,"gi|659916946|emb|CDP49685.1| Methionine import ATP-binding protein metN [Propionibacterium freudenreichii subsp. freudenreichii]",1.26299292041522,3,3,2,3,3,3,"c602.a1.a1","OK",0.808310906061215,0.91028495461161,"gi|659916946|emb|CDP49685.1| Methionine import ATP-binding protein metN [Propionibacterium freudenreichii subsp. freudenreichii]",1.125
"gi|659916954|emb|CDP49647.1|",5.61603806398421,5.76070377623935,5.72789151035423,6.65192454751252,7.088226609228,4.61583873808974,"c673.a1.a1",0.613730559145502,0.742992898195344,"gi|659916954|emb|CDP49647.1| Protein of unknown function [Propionibacterium freudenreichii subsp. freudenreichii]",11.011649256222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916956|emb|CDP49649.1|",8.13677241382991,8.47561910062066,8.3066713824343,8.09319516139186,8.13164168545488,8.12787873761969,"c168.a1.a1",0.128001404342663,0.28604718220541,"gi|659916956|emb|CDP49649.1| Putative uncharacterized protein [Propionibacterium freudenreichii subsp. freudenreichii]",0.616323774030585,9,12,13,19,12,10,"c168.a1.a1","OK",0.418584763296368,0.757376806089366,"gi|659916956|emb|CDP49649.1| Putative uncharacterized protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.20588235294118
"gi|659916957|emb|CDP49650.1|",7.86290292582574,7.69302622168085,7.54215678936365,8.16755033878258,8.24323559207495,8.37977357583796,"b46.a1.a1",0.00718920972853233,0.0404829285684345,"gi|659916957|emb|CDP49650.1| Putative uncharacterized protein [Propionibacterium freudenreichii subsp. freudenreichii]",3.57689790028189,18,25,20,31,31,33,"b46.a1.a1","OK",0.0106304963390759,0.0615505738032494,"gi|659916957|emb|CDP49650.1| Putative uncharacterized protein [Propionibacterium freudenreichii subsp. freudenreichii]",1.50793650793651
"gi|659916960|emb|CDP49653.1|",8.41186712561733,8.48581402754246,8.45805026175692,8.65894872914386,8.28580849480576,8.6788814025876,"c333.a1.a1",0.52878666743843,0.671107805501727,"gi|659916960|emb|CDP49653.1| Permease for cytosine/purines, uracil, thiamine,allantoin [Propionibacterium freudenreichii subsp. freudenreichii]",1.32322618232555,11,11,11,11,9,9,"c333.a1.a1","OK",0.611329235372218,0.865426961566049,"gi|659916960|emb|CDP49653.1| Permease for cytosine/purines, uracil, thiamine,allantoin [Propionibacterium freudenreichii subsp. freudenreichii]",0.878787878787879
"gi|659916962|emb|CDP49655.1|",8.10992920158567,8.25569144901037,8.25889311463288,7.02058556673856,7.21862611216244,7.10249174593525,"c460.a1.a1",0.000132413959298002,0.00698182694480372,"gi|659916962|emb|CDP49655.1| Major facilitator superfamily MFS_1 [Propionibacterium freudenreichii subsp. freudenreichii]",0.0809211123370708,5,5,5,5,4,3,"c460.a1.a1","OK",0.563299972842515,0.853797602816277,"gi|659916962|emb|CDP49655.1| Major facilitator superfamily MFS_1 [Propionibacterium freudenreichii subsp. freudenreichii]",0.8
"gi|659916973|emb|CDP49666.1|",7.84260518055707,7.93158386936831,7.39203824143534,7.79654662751609,7.95927405463712,7.9085808652478,"c244.a1.a1",0.393423244663759,0.568375364691601,"gi|659916973|emb|CDP49666.1| Coenzyme A transferase (Putative succinyl-CoA or butyryl-CoA:coenzyme A transferase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.30595450866353,9,13,11,13,13,13,"c244.a1.a1","OK",0.479245246774174,0.799662818104457,"gi|659916973|emb|CDP49666.1| Coenzyme A transferase (Putative succinyl-CoA or butyryl-CoA:coenzyme A transferase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.18181818181818
"gi|659916980|emb|CDP49673.1|",6.43619648829757,6.63321370239229,6.69198922572148,6.95806405164259,6.63965798754832,3.88329128390775,"c315.a1.a1",0.480952699185971,0.641521890161973,"gi|659916980|emb|CDP49673.1| rRNA (guanine-N2-)-methyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",1.12562352513153,4,6,6,11,4,2,"c315.a1.a1","OK",0.86179396089091,0.913880409076629,"gi|659916980|emb|CDP49673.1| rRNA (guanine-N2-)-methyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]",1.0625
